SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)c1cnno1,122.083,4,0,1,1,4,55.99,-0.11450000000000005,0
OC1CC2C3CC1OC23,126.15499999999997,2,1,0,4,2,29.46,0.15449999999999986,5
OC1=CN(O)C(O)C1O,133.10299999999998,5,4,0,1,5,84.16000000000001,-1.2301000000000004,2
CC1CCCC(=O)OC1,128.171,2,0,0,1,2,26.3,1.3496000000000001,1
CC1C=CCC(=NN)C1,124.18700000000003,2,1,0,1,2,38.379999999999995,1.2872000000000001,1
C#CC12CC1C(C)C=N2,119.16699999999997,1,0,0,2,1,12.36,1.0988,3
CCC12CCCC1C2C,124.22699999999998,0,0,1,2,0,0.0,2.832600000000001,3
C1C2CC3OC2C32NC12,123.15499999999997,2,1,0,5,2,31.17,-0.11200000000000004,5
O=CC12OC3CC1C2N3,125.12699999999998,3,1,1,4,3,38.33,-0.7279,4
CN1C=C(CO)C1CO,129.159,3,2,2,1,3,43.7,-0.8311,1
O=C1C=CCC2CC2O1,124.139,2,0,0,2,2,26.3,0.8779999999999999,2
N=C(NC=O)N1CC1,113.12000000000002,2,2,1,1,4,55.96,-1.0172299999999999,0
CC(=O)C1CCNCO1,129.15900000000002,3,1,1,1,3,38.33,-0.08859999999999996,1
CC1(C=O)CNCCO1,129.15900000000002,3,1,1,1,3,38.33,-0.43620000000000014,1
C#CC1CCCC1C,108.184,0,0,0,1,0,0.0,2.0558,2
CC1=NCC(=O)C1C,111.14399999999998,2,0,0,1,2,29.43,0.6661,1
O=CNC1C(O)C1CO,131.131,3,3,3,1,4,69.56,-1.9160000000000006,3
CC1(OC=N)OCC1O,131.131,4,2,2,1,4,62.540000000000006,-0.2826299999999998,2
OCC1C=CC=COO1,128.12699999999998,3,1,1,1,3,38.69,0.379,1
CC1C(=O)NC2NCC21,126.15899999999998,2,2,0,2,3,41.13,-0.7021999999999999,3
CC1OCC2C1C21CC1,124.18299999999998,1,0,0,3,1,9.23,1.4313,3
CCC1OC1CC1CN1,127.18699999999998,2,1,3,2,2,34.47,0.5257000000000001,3
CC1=CCNC1C=CO,125.17099999999996,2,2,1,1,2,32.26,0.9762000000000002,1
CC1=CCCC1CC=O,124.18299999999999,1,0,2,1,1,17.07,1.9317,1
C#CCC1(C#N)CCN1,120.155,2,1,1,1,2,35.82,0.26538,1
CC12CC(=O)C(O)C1O2,128.12699999999998,3,1,0,2,3,49.83,-0.5224,3
CC1=C2CC3CC(O1)C23,122.16699999999997,1,0,0,3,1,9.23,1.699,3
C#CC1CC2NC(=O)C12,121.13899999999998,1,1,0,2,2,29.1,-0.24590000000000017,3
CC1=NC=C2CC2CO1,123.15499999999999,2,0,0,2,2,21.59,1.3388,1
CC1OC2C3CCC1C32,124.18299999999998,1,0,0,3,1,9.23,1.4297,5
CC1CCCC1O,100.16099999999999,1,1,0,1,1,20.23,1.1673,2
CC1NC12CC1CNC12,124.18699999999998,2,2,0,3,2,33.97,-0.29140000000000005,4
CCCC1CC1O,100.16099999999999,1,1,2,1,1,20.23,1.1673,2
CCC(N=O)OCC=O,131.13099999999997,4,0,5,0,4,55.73,0.7044,1
