SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
C#CC(=O)c1ccn[nH]1,120.11099999999999,2,1,1,1,3,45.75,0.22559999999999997,0
O=C1C=CC(O)CC1=O,126.11099999999999,3,1,0,1,3,54.37,-0.5546000000000002,1
CC1(O)CCC(=O)C1=O,128.127,3,1,0,1,3,54.37,-0.3306,1
O=C1CCNCC(=O)C1,127.14299999999999,3,1,0,1,3,46.17,-0.492,0
O=C1C=CC(=O)OC1,112.084,3,0,0,1,3,43.370000000000005,-0.33150000000000013,0
O=C1C=CC(=O)N1,97.07300000000001,2,1,0,1,3,46.17,-0.8010000000000002,0
O=C1OCC=CCO1,114.09999999999998,3,0,0,1,3,35.53,0.7094,0
CC1COC(=O)N1,101.10499999999999,2,1,0,1,3,38.33,0.11470000000000008,1
O=C1C=CC(=O)C1CO,126.11099999999999,3,1,1,1,3,54.370000000000005,-0.6971,0
C#CC1(C#N)CNC1,106.128,2,1,0,1,2,35.82,-0.26722,0
O=C1C=CCC1CO,112.128,2,1,1,1,2,37.3,0.12389999999999995,1
C#CC1COCC1=O,110.112,2,0,0,1,2,26.3,-0.16490000000000005,1
O=C1CCC=CNC1=O,125.12699999999998,2,1,0,1,3,46.17,-0.020800000000000096,0
CC1C(=O)CC1CO,114.14399999999999,2,1,1,1,2,37.3,0.20380000000000004,2
O=C1CCCC(=O)C1=O,126.11099999999999,3,0,0,1,3,51.21,-0.12240000000000006,0
CC1(C(=O)C=O)CC1,112.128,2,0,2,1,2,34.14,0.5545,0
O=C1NCCC=CO1,113.11599999999999,2,1,0,1,3,38.33,0.6300000000000001,0
CC1NCC(=O)C1=O,113.11599999999999,3,1,0,1,3,46.17,-0.8837000000000002,1
O=CC1CNC=CC1=O,125.12699999999997,3,1,1,1,3,46.17,-0.5125,1
CN1CC(=O)CC(=O)C1,127.14299999999999,3,0,0,1,3,37.38,-0.5399000000000003,0
O=C1CCNCC1=O,113.11599999999999,3,1,0,1,3,46.17,-0.8821000000000001,0
O=C1C=CC(=O)NC1,111.10000000000001,2,1,0,1,3,46.17,-0.7585000000000002,0
N#CC1CCNC1C=O,124.14299999999999,3,1,1,1,3,52.89,-0.3130200000000001,2
O=CC1CCCNC1=O,127.143,2,1,1,1,3,46.17,-0.28850000000000015,1
C=C1NC(=O)NC1C,112.13199999999998,1,2,0,1,3,41.13,0.20140000000000008,1
CC1(C=O)CCN1,99.13300000000001,2,1,1,1,2,29.1,-0.06269999999999992,1
C#CC1COCC1=O,110.112,2,0,0,1,2,26.3,-0.16490000000000005,1
CC1CCC(=O)C(=O)N1,127.14299999999999,2,1,0,1,3,46.17,-0.14600000000000007,1
C#CC1CCN=CNC1,122.171,2,1,0,1,2,24.39,0.25740000000000013,1
O=C1CCCOC1=O,114.1,3,0,0,1,3,43.370000000000005,-0.10749999999999993,0
O=C1C=CC(=O)NC1,111.10000000000001,2,1,0,1,3,46.17,-0.7585000000000002,0
O=C1CCCCC1=O,112.128,2,0,0,1,2,34.14,0.6986,0
