SMILES,MW,HBA,HBD,nRot,nRing,nHet,TPSA,LogP,StereoCenters
CC1=COC1=O,84.074,2,0,0,1,2,26.3,0.447,0
CC1=CCC1O,84.118,1,1,0,1,1,20.23,0.6973,1
N=C1C=C(C=O)C1,95.10099999999998,2,1,1,1,2,40.92,0.5351699999999999,0
CNC1(C)CC1=O,99.133,2,1,1,1,2,29.1,-0.0627000000000002,1
CC1=CCCN1,83.13400000000001,1,1,0,1,1,12.03,0.8835,0
CC1=CC(O)C1,84.11800000000001,1,1,0,1,1,20.23,0.6973,1
CC1C=NC=CC1,95.14499999999998,1,0,0,1,1,12.36,1.6107,1
N=C1C=CCC1,81.11800000000001,1,1,0,1,1,23.85,1.35617,0
CC12C=C1OC2,82.102,1,0,0,2,1,9.23,0.9204,1
C#CC1CC12C=N2,91.113,1,0,0,2,1,12.36,0.4627,2
CC1=CC1N,69.10700000000001,1,1,0,1,1,26.02,0.2736000000000002,1
CC1(C=N)CC1,83.13400000000001,1,1,1,1,1,23.85,1.43607,0
N=C1CCC1=O,83.08999999999999,2,1,0,1,2,40.92,0.36907,0
CC1=CNC1,69.10700000000001,1,1,0,1,1,12.03,0.4934,0
O=C1CC=C2CC12,94.113,1,0,0,2,1,17.07,0.9055,1
C#CC1=CCC1N,93.129,1,1,0,1,1,26.02,0.277,1
ON1CCC1,73.09500000000001,2,1,0,1,2,23.47,0.08129999999999993,0
CC1=CC(=O)N1,83.09,1,1,0,1,2,29.1,0.020000000000000073,0
CC1=CC1CO,84.11800000000001,1,1,1,1,1,20.23,0.5548,1
O=C1C=C=CC1O,96.08499999999998,2,1,0,1,2,37.3,-0.3587000000000001,1
CC1=NCCC1,83.134,1,0,0,1,1,12.36,1.2411,0
CC1C=NC1,69.107,1,0,0,1,1,12.36,0.7069000000000001,1
CN=C1CC1,69.107,1,0,0,1,1,12.36,0.851,0
NC1CC=CC1=O,97.11699999999999,2,1,0,1,2,43.09,-0.15730000000000022,1
CC1CNC1,71.123,1,1,0,1,1,12.03,0.22569999999999996,0
O=NC1CCC1,85.10600000000001,2,0,1,1,2,29.43,1.3053,0
CC1N=CCC1=O,97.117,2,0,0,1,2,29.43,0.41850000000000004,1
O=C1C=CC=N1,81.07400000000001,1,0,0,1,2,29.43,0.1536,0
O=C1C=C=CCN1,95.101,1,1,0,1,2,29.1,-0.17250000000000004,0
CC1=NC=C1,67.091,1,0,0,1,1,12.36,0.9746,0
O=C1C=CC1CO,98.101,2,1,1,1,2,37.3,-0.26620000000000005,1
O=C1C=CC1O,84.074,2,1,0,1,2,37.3,-0.5138,1
CC1=CNCC1,83.13400000000001,1,1,0,1,1,12.03,0.8835,0
CC1(C)CC1=O,84.118,1,0,0,1,1,17.07,0.9854,0
O=C1C=CC=C1,80.086,1,0,0,1,1,17.07,0.6814999999999999,0
O=CC1=CC(=O)C1,96.085,2,0,1,1,2,34.14,0.08449999999999991,0
C1CCNC1,71.123,1,1,0,1,1,12.03,0.36979999999999996,0
CN1C=CCC1,83.13400000000001,1,0,0,1,1,3.24,0.8356,0
O=C1CCNC1,85.106,2,1,0,1,2,29.1,-0.45120000000000005,0
O=C1C=CCC=C1,94.113,1,0,0,1,1,17.07,1.0715999999999999,0
CC1=CN=C1C,81.118,1,0,0,1,1,12.36,1.3647,0
O=C1C=CC1,68.07500000000002,1,0,0,1,1,17.07,0.5154,0
CC1=CCC1N,83.13400000000001,1,1,0,1,1,26.02,0.6637000000000001,1
C#CC1=NCC1,79.102,1,0,0,1,1,12.36,0.46430000000000005,0
NC1CC1,57.096,1,1,0,1,1,26.02,0.10749999999999993,0
CC1(C)CN1,71.12299999999999,1,1,0,1,1,21.94,0.3682,0
CC1C=NC1C,83.13399999999999,1,0,0,1,1,12.36,1.0954000000000002,2
O=C1C=CNC1,83.09,2,1,0,1,2,29.1,-0.3276000000000001,0
O=C1CC(=O)C1,84.074,2,0,0,1,2,34.14,-0.0816,0
CC1=COC1,70.09100000000001,1,0,0,1,1,9.23,0.9204,0
CC1=C(C=O)C1,82.102,1,0,1,1,1,17.07,0.9055,0
O=C1C=C=CNC1,95.101,2,1,0,1,2,29.1,-0.17250000000000004,0
O=C1CC=C1CO,98.101,2,1,1,1,2,37.3,-0.12210000000000004,0
O=CC1CNC1,85.106,2,1,1,1,2,29.1,-0.5952999999999999,0
O=C1CCC1=O,84.074,2,0,0,1,2,34.14,-0.0816,0
O=CC1CC1=O,84.074,2,0,1,1,2,34.14,-0.2257,1
O=CC1=CCC1=O,96.085,2,0,1,1,2,34.14,0.08449999999999996,0
CN=C1CCC1,83.134,1,0,0,1,1,12.36,1.2411,0
C#CC1=CC=N1,77.086,1,0,0,1,1,12.36,0.5879,0
O=C1C=CC12CC2,94.11300000000001,1,0,0,2,1,17.07,0.9055,0
CC1=NCC1,69.107,1,0,0,1,1,12.36,0.851,0
C1=CCNCC1,83.134,1,1,0,1,1,12.03,0.5359,0
C#CC1CCN1,81.11800000000001,1,1,0,1,1,12.03,-0.018500000000000016,1
CC1=CCNC1,83.134,1,1,0,1,1,12.03,0.5359,0
CC1=C2C=CCC12,92.14099999999999,0,0,0,2,0,0.0,1.8926,1
CC1CC(=N)N1,84.122,1,2,0,1,2,35.88,0.34547000000000005,1
C#CC1=CC1O,80.086,1,1,0,1,1,20.23,-0.07950000000000002,1
CC1CC1=O,70.091,1,0,0,1,1,17.07,0.5952999999999999,1
O=C1CC=NC1,83.09,2,0,0,1,2,29.43,0.030000000000000027,0
CCC1=NCC1,83.134,1,0,1,1,1,12.36,1.2411,0
O=CC1C=CC1,82.102,1,0,1,1,1,17.07,0.7614,1
O=CC1=CCC1,82.102,1,0,1,1,1,17.07,0.9055,0
O=C1CC=CNC1,97.117,2,1,0,1,2,29.1,0.062499999999999944,0
O=C1CCO1,72.063,2,0,0,1,2,26.3,-0.06669999999999998,0
